Frame,Circle,Radius (px)
1,1,53
1,2,87
1,3,126
2,1,86
2,2,81
2,3,101
3,1,90
3,2,60
3,3,88
4,1,90
4,2,60
4,3,88
5,1,93
5,2,71
5,3,72
6,1,128
6,2,89
6,3,102
6,4,34
7,1,68
7,2,127
7,3,89
8,1,144
8,2,76
8,3,92
9,1,128
9,2,93
9,3,91
10,1,88
10,2,93
10,3,68
11,1,137
11,2,93
11,3,58
12,1,141
12,2,147
12,3,61
13,1,123
13,2,94
13,3,114
13,4,37
13,5,45
14,1,105
14,2,60
14,3,99
15,1,75
15,2,115
15,3,117
16,1,52
16,2,106
16,3,72
16,4,37
17,1,92
17,2,144
17,3,114
17,4,29
18,1,65
18,2,61
18,3,128
18,4,37
19,1,57
19,2,100
19,3,73
20,1,95
20,2,104
20,3,50
20,4,63
21,1,62
21,2,97
21,3,79
22,1,72
22,2,81
22,3,54
22,4,57
22,5,92
23,1,71
23,2,92
23,3,128
23,4,59
23,5,30
24,1,61
24,2,98
24,3,47
24,4,106
25,1,91
25,2,90
25,3,90
25,4,34
25,5,120
26,1,104
26,2,62
26,3,102
26,4,44
27,1,78
27,2,106
27,3,99
27,4,96
27,5,60
28,1,100
28,2,93
28,3,108
28,4,48
28,5,27
29,1,55
29,2,108
29,3,117
29,4,95
30,1,143
30,2,66
30,3,103
30,4,57
31,1,93
31,2,91
31,3,75
31,4,37
32,1,76
32,2,92
32,3,68
32,4,37
32,5,110
33,1,61
33,2,63
33,3,60
34,1,78
34,2,52
34,3,121
35,1,100
35,2,97
35,3,81
35,4,15
36,1,100
36,2,91
36,3,77
36,4,126
37,1,44
37,2,55
37,3,109
37,4,69
38,1,75
38,2,113
38,3,131
38,4,117
39,1,51
39,2,82
39,3,135
39,4,54
39,5,28
40,1,60
40,2,94
40,3,81
40,4,50
41,1,60
41,2,95
41,3,108
41,4,105
42,1,46
42,2,92
42,3,99
43,1,76
43,2,81
43,3,123
43,4,40
44,1,65
44,2,65
44,3,116
45,1,49
45,2,63
45,3,123
46,1,80
46,2,160
46,3,98
46,4,59
47,1,53
47,2,101
47,3,99
48,1,52
48,2,55
48,3,91
49,1,59
49,2,51
49,3,128
49,4,115
49,5,58
50,1,73
50,2,92
50,3,83
50,4,68
51,1,105
51,2,51
51,3,86
51,4,57
51,5,54
52,1,57
52,2,51
52,3,100
53,1,53
53,2,54
53,3,129
53,4,76
54,1,83
54,2,51
54,3,128
54,4,57
54,5,26
55,1,92
55,2,81
55,3,116
55,4,40
55,5,75
56,1,91
56,2,64
56,3,61
56,4,39
57,1,141
57,2,94
57,3,92
57,4,54
57,5,63
58,1,102
58,2,63
58,3,114
58,4,41
59,1,102
59,2,63
59,3,114
59,4,41
60,1,52
60,2,117
60,3,93
60,4,76
61,1,64
61,2,53
61,3,90
61,4,106
61,5,39
61,6,74
62,1,63
62,2,53
62,3,92
62,4,57
63,1,61
63,2,50
63,3,56
64,1,105
64,2,72
64,3,47
64,4,108
64,5,56
65,1,83
65,2,90
65,3,81
65,4,106
65,5,35
65,6,101
65,7,34
66,1,51
66,2,52
66,3,92
66,4,37
67,1,93
67,2,110
67,3,82
67,4,39
68,1,74
68,2,99
68,3,54
69,1,74
69,2,99
69,3,54
70,1,145
70,2,134
70,3,71
70,4,110
70,5,38
70,6,33
71,1,68
71,2,138
71,3,115
71,4,58
72,1,141
72,2,72
72,3,99
72,4,53
73,1,140
73,2,135
73,3,73
73,4,60
73,5,25
74,1,129
74,2,72
74,3,134
74,4,69
74,5,36
75,1,44
75,2,131
75,3,91
75,4,71
76,1,62
76,2,110
76,3,96
76,4,63
77,1,137
77,2,153
77,3,40
77,4,148
77,5,95
78,1,155
78,2,99
78,3,83
78,4,49
79,1,155
79,2,99
79,3,83
79,4,49
80,1,56
80,2,114
80,3,92
80,4,69
81,1,99
81,2,46
81,3,111
81,4,88
82,1,136
82,2,131
82,3,92
83,1,117
83,2,97
83,3,59
84,1,127
84,2,101
84,3,87
85,1,129
85,2,93
85,3,101
85,4,35
86,1,131
86,2,94
86,3,62
86,4,46
87,1,94
87,2,131
87,3,97
88,1,123
88,2,65
88,3,106
88,4,101
89,1,123
89,2,65
89,3,106
89,4,101
90,1,125
90,2,114
90,3,112
90,4,105
91,1,131
91,2,87
91,3,91
92,1,125
92,2,130
92,3,120
93,1,145
93,2,98
93,3,59
93,4,91
94,1,126
94,2,127
94,3,104
95,1,82
95,2,157
95,3,114
95,4,71
95,5,103
96,1,120
96,2,156
96,3,72
96,4,73
96,5,102
97,1,112
97,2,99
97,3,186
97,4,62
98,1,96
98,2,129
98,3,95
98,4,51
98,5,38
99,1,96
99,2,129
99,3,95
99,4,51
99,5,38
100,1,105
100,2,93
100,3,78
100,4,171
101,1,163
101,2,132
101,3,83
101,4,141
102,1,167
102,2,125
102,3,90
102,4,67
102,5,45
103,1,151
103,2,57
103,3,124
103,4,48
104,1,135
104,2,48
104,3,77
105,1,133
105,2,40
105,3,51
105,4,81
105,5,26
106,1,96
106,2,77
106,3,85
107,1,63
107,2,90
107,3,104
108,1,79
108,2,114
108,3,75
108,4,84
108,5,92
109,1,68
109,2,79
109,3,75
109,4,59
109,5,39
110,1,135
110,2,34
110,3,89
111,1,233
111,2,135
111,3,46
112,1,75
112,2,91
112,3,97
112,4,43
112,5,36
113,1,64
113,2,54
113,3,65
113,4,42
114,1,42
114,2,80
114,3,87
114,4,59
115,1,76
115,2,148
115,3,65
115,4,84
116,1,89
116,2,82
116,3,102
117,1,94
117,2,102
117,3,67
117,4,62
118,1,329
118,2,82
118,3,65
118,4,102
119,1,84
119,2,82
119,3,120
120,1,76
120,2,81
120,3,95
120,4,42
121,1,78
121,2,89
121,3,100
122,1,65
122,2,75
122,3,133
122,4,57
123,1,129
123,2,102
123,3,54
123,4,54
124,1,52
124,2,67
124,3,92
124,4,91
125,1,125
125,2,85
126,1,112
126,2,138
127,1,181
127,2,59
128,1,194
128,2,61
128,3,67
129,1,196
129,2,84
129,3,110
129,4,130
130,1,53
130,2,57
130,3,99
130,4,117
130,5,63
131,1,59
131,2,58
131,3,101
131,4,70
132,1,90
132,2,121
132,3,93
133,1,58
133,2,53
133,3,115
133,4,130
133,5,77
134,1,68
134,2,45
134,3,98
134,4,173
134,5,21
135,1,146
135,2,57
135,3,43
135,4,111
